master_cpd_id;cpd_name;broad_cpd_id;top_test_conc_umol;cpd_status;inclusion_rationale;gene_symbol_of_protein_target;target_or_activity_of_compound;source_name;source_catalog_id;cpd_smiles;status;combined_group
56703;sirolimus;BRD-K84937637;33;FDA;kinome;MTOR;inhibitor of mTOR;Selleck;S1039;CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O;approved_or_clinical;PI3K/AKT/mTOR pathway inhibitor
58339;KU-55933;BRD-K25311561;66;probe;kinome;ATM;inhibitor of ataxia telangiectasia mutated (ATM);Selleck;S1092;O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1;experimental;Cell-cycle/Checkpoint modulator
58442;sitagliptin;BRD-K19416115;66;FDA;outreach;DPP4;inhibitor of dipetidyl peptidase-4;Selleck;S4002;N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F;approved_or_clinical;Other signaling enzyme/channel/metabolic modulator
60218;entinostat;BRD-K77908580;66;clinical;"chromatin;CTEP;outreach";"HDAC1;HDAC2;HDAC3;HDAC6;HDAC8";inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;Stanley Center for Psychiatric Research at the Broad Institute;;Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1;approved_or_clinical;Epigenetic/transcription modulator
60225;belinostat;BRD-K17743125;66;clinical;"chromatin;CTEP";"HDAC1;HDAC2;HDAC3;HDAC6;HDAC8";inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;Selleck;S1085;ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1;approved_or_clinical;Epigenetic/transcription modulator
61097;apicidin;BRD-K64606589;33;probe;"chromatin;outreach";"HDAC1;HDAC2;HDAC3;HDAC6;HDAC8";inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;Fermentek Ltd;Fermentek-AC001;CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O;experimental;Epigenetic/transcription modulator
61674;Merck60;BRD-K04466929;33;probe;"chromatin;pilot-set";"HDAC1;HDAC2";inhibitor of HDAC1 and HDAC2;Stanley Center for Psychiatric Research at the Broad Institute;;CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1;experimental;Epigenetic/transcription modulator
61724;BRD-A94377914;BRD-A94377914;33;probe;"chromatin;outreach";"HDAC1;HDAC2;HDAC3;HDAC6;HDAC8";inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;Stanley Center for Psychiatric Research at the Broad Institute;;CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1;experimental;Epigenetic/transcription modulator
61775;FGIN-1-27;BRD-K09778810;33;probe;pilot-set;TSPO;activator of peripheral benzodiazepine receptor/translocator protein;Tocris Bioscience;658;CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1;experimental;Other signaling enzyme/channel/metabolic modulator
62111;compound 1B;BRD-A42556028;66;probe;"chromatin;outreach";;screening hit;Enamine Ltd.;T0503-7331;CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C;experimental;Miscellaneous or screening hit/natural product
